"txt","offensive"
">>59497você é completamente retardado.sua pitanga é bissexual, e você se sente incomodado com isso. qual seu problema?>nesses tempos malucosnão. grande parte das mulheres são bissexuais, inclusive até as que não são já transaram a 3 com outra mulher. e isso não é exclusivo dessa época. reis e pessoas do alto clero sempre transaram com várias ao mesmo tempo.>ela não vai fazer a 3 comigo pois tem ciúmes.não. ela te considera beta, e por isso não irá fazer a 3.","1"
"bom dia era tudo oq eu precisava agora 😔😔😔💞","0"
"@mariturquesv velha velha e nem se manca","0"
">>60244>em uma das vezes chegou a tirar ""sarro"" do tamanho do meu pauoh wow, para mim isso já seria cartão vermelho. não sei como vocês aguentam esses relacionamentos abusivos.","1"
"Quer chamar atenção do marido organiza um grupal com as amigas pra ele, jumenta https://t.co/sHHSV1hg7a","1"
"churrasco e cerveja gelada, quero mais nada pra hoje","0"
"acho que meu curious cat tá errado, pq pergunta não tem mas gente me xingando ou enchendo o saco tá cheio kkk","0"
"@carol_moura13 @RitaBranco02 opa, que fufas tratem se","0"
">>27317>secessão>2018boa sorte se livrando da negrada, metade da comunidade internacional vai te bombardear à merda se tentar algo do tipo","1"
"isso sim é meta, crescer e ainda ajudar a pessoa que você ama a crescer junto!!! 💏 ","0"
">>60498então pra que passar vergonha e admitir que não tem argumentos?>>60499%c3%aancia_aned%c3%b3tica","1"
"anões, algum de vocês utiliza o coito interrompido como método anticoncepcional? funciona?","1"
"RT @CapitalismoOP: #SerMulherÉ ter cromossomos xx e não ter uma rola no meio das pernas","1"
"meus caros, vejo vocês falando de tadalafila, qual o preço médio desta porra? vou transar esse fim de semana com uma vagabunda deliciosa e preciso performar bem, porém não sei o preço e preciso ir preparado pra farmácia, já que não tenho dinheiro sobrando pra pagar independentemente do preço.","1"
">>60213quando o fio pinado sobre o foguinho foi deletado, o moderador disse que as discussões teriam que ser feitas neste fio a partir de em diante.","1"
"Veja as fotos e o vídeo. Islão, aqui, não! https://t.co/rnj2MV3chu#RenovarPortugal #PNR #Islão #Muçulmanos #Mesquitas #Portugal","1"
"as vezes eu tenho a impressão de q a questão q eu faço dos outros, eles não fariam de mim, pq isso?","0"
"pergunte-me qualquer coisa ","0"
">>54598é simples, anão, trabalhe, mude de vida e então viva a vida como um rei. até lá, coma o que tiver, viva com o que puder.estar mal não é motivo para se desanimar, pior seria não ter coragem de tentar sair da merda, aí sim é motivo para se martirizar.","1"
"RT @PastorMalafaia: FELIPE NETO é uma honra ser caluniado por um INESCRUPULOSO como você.Vou lhe dar a chance, na justiça, para você provar _","0"
"green te viu, gleen te vê ? rt","0"
"anão que já usou tadalafila mais de 100 vezes. estarei respondendo toda e qualquer tipo de dúvida a respeito do medicamento. posso dizer, com toda certeza, que o conheço mais do que os criadores do mesmo.se você tem problemas com ereção, tire todas suas dúvidas.","1"
