"txt","offensive"
"a mulher se arrumou toda, arrumou toda a casa pra aparecer apenas 3 pessoas! 

bah eu to com muita vontade de chorar cara vai toma no cu, minha mãe não merecia isso ","0"
"ta mais pra segundou🙄","0"
">>57823tá tudo errado, anão. você calculou com o feijão cru e considerou um ovo como 100g.100g de feijão cozido tem umas 5g de proteína e um ovo tem 6g de proteína.se você é miserável a ponto de não poder gastar com ovo e frango, não faz sentido nenhum gastar com whey.","1"
"puta merda, que bicho feio. parece um macaco.","1"
"minutos dps da foto apareceu dois jovens aí beijando um cadáver :0 ","0"
"Esse cara é um lixo humano, é daqueles imbecis que acham que sabem tudo https://t.co/Ocs4E9fEV1","1"
"não faz sentindo algum está merda, só pode ter sido feito por um gaúcho.","1"
"RT @honeyandthings: @Curate_Angola aposto que se esses adolescentes tivessem lidado com essa situação desde pequenos não o fariam","0"
"feriado de uns // meu feriado ","0"
"e eu achando que era o único ","0"
"freddie mercury conte comigo pra tudo tudo tudo","0"
"haaa para ne pelo amor de deus","0"
"o mais legal nos shows do exo é que a gente pode ter mimos do chanyeol sendo totalmente aleatório como dele caindo fazendo moonwalker ","0"
"achei essa pagina https://t.co/yoVjMs2Zz0","0"
"vamos fazer um site chamado ?  algum webdesign patriota aí? podemos fazer uma vaquinha virtual. 
#senadovergonhadobrasil","0"
