text,hatespeech
gosto das pretinha com transas  🤣🤣,1
olha oq ela falou qnd eu tava empurrando o pau,1
bando de cu de apito pqp,1
nossa vontade de dar uma bicuda nesse menino pqp,0
rt @user ou vc bota pra fuder ou quem se fode é vc,1
@user cuecão cara de pau,1
"não te trago flor, mas em cima do flow
queria te dizer, ainda existe amor",0
@user o cu assassino https://t.co/ttsgvrbc64,1
"rt @user tesão da porra fodido hoje, pqp.
vontade de trepar até cansar 👨‍❤️‍👨🍆👌🏼🔞 
https://t.co/wpnecxobiy",1
bate o dedinho nesse frio pqp em,0
"@user @user covarde é covarde, não tem jeito mesmo...",0
"Câncer

Manipulador e estressadinho 
Adora guardar dinheiro 
Sensível, por tudo chora 
É o melhor conselheiro 
Tem boa intuição
E é muito compreensivo 
Romântico como ele é 
Será um ótimo marido",0
"@user @user @user kkkkkkkkk bem tua carinha, sua babaca",1
"rt @user @user putz, e sex tape não dá pra gravar todo dia...",1
"rt @user caralho, mãe tá sempre certa quando diz que tal amiga é falsa e n presta",0
h谩 quem diga que quem anda s贸 茅 melhor do que ao lado de quem n茫o te quer bem,0
"isso é ridículo, olha o meio campo e atacantes e olha a zaga e laterais, ridículo demais!!!!",0
passivo que come o cu do ativo?,1
paulinho devia ser centroavante nunca vi um cara meia fazer tanto gol pqp,0
"@user exatamente, fogo neles!",0
velho esse gerente tá muito filha da puta cara,1
rt @user cade os safados pra foder esse cuzinho????? https://t.co/zn72aslz3h,1
rt @user pau no cu do lucas q me fez viciar naquele funk estranho dele kkkkk ooooo meu bom,1
EU SABIA QUE TAVA ME LEMBRANDO DE ALGUEEEEEEM AI POXA EU TO MUITO TRISTE PORRA ELES SAO MEUS EXEMPLOS MAJQBDMXLOAKAAAAA https://t.co/4QVOXo7jCV,0
"""jungkook tava fodendo a mao e olhando pro tae"" ah mano vao se tratar porra",1
@user putinha goza litros,1
rt @user mais pode até fala de mim tô nem aí 🎵 https://t.co/nr3dwyflro,0
"@user ""padre"" de taubaté. 

pra bom entendedor...kkkkkk",0
é agosto e eu não consigo ir para a praia. isto é ridículo meu,0
@user sou uma mongol mesmo #mpn #nowunited #uniters #marinaruybarbosa,0
gui vai levar um pau se não levar o narguile,0
provas mostram que moro e dallagnol atuaram criminosamente contra lula https://t.co/hqr7oqilpj,0
