text,hatespeech_comb
Cáritas Lisboa tem 2M euros no banco há 10 anos. Se tivessem confiado no Espírito Santo já não o tinham. Podem ser beatos mas não são parvos,0
@bentomribeiro vc é mó bobão mesmo eim,1
"Dois representantes do meu Top3 à conversa.
Boa maneira de aquecer antes de escrever o meu novo set https://t.co/S8rnuv5ldt",0
@Eldergm_ @zecamaroto mas quem disse q ia desperdiçar? Falei sobre ir primeiro e não qual vc escolheria única apenas,0
"A mulher é um gênio, vei. Me sentindo tão burra aqui que ceis nem sabem",0
"De acordo com @pewresearch , 99% (!!!) dos afegãos são a FAVOR da Sharia, a absurda lei islâmica! Mas o malvadão é _ https://t.co/XjoBF5JO5I",1
"Difícil pra uma mina burra e insegura que nunca conquistou nada conviver com uma mulher bonita, inteligente e independente ne? Dá pena",1
é tanto calor que to começando a gostar de quem fala cuspindo,0
"RT @NevesIgor: frases da direita 
absurdo! um judeu reagiu cuspindo no hitler! imaginem se fosse ao contrário?",0
"PROMOÇÃO DO DIA 
Vende-se Rosas do Deserto !
Idade: 08 meses
Cores: Mistas ( do branco ao rubro; simples e... https://t.co/zU3PxQgKK6",0
"tem que prender esses petista que grita fora temer nos estádios mesmo
vai esquerdar em outro lugar e me deixa ver meu hipismo em paz",1
"...tanto tempo que não sabe mais como ganhar, apenas veja o caos que está o nosso país - preso em conflitos em todo _ https://t.co/u0UBstAgQd",0
RT @numiweb: Também queremos ver os sms do Paulo Portas sobre o negócio dos submarinos,0
@CapitalismoOP olha de perto a foto que ela dá um sorriso ...,0
"A mídia está fazendo com esse prefeito, o que fez comigo. Eles forçam uma tá homofobia, rotulam, ridicularizam,... https://t.co/oxI4tx9PqL",1
"RT @JesinaAndreia: Muito normal. Melhor mostrar a plena realidade a criança. Porque ninguém escolhe ser homossexual. Não acontece a todos , _",0
O que é intervenção CÍVICO MILITAR?Este vídeo me fez pensar.   https://t.co/8L06qY07KQ,1
@amandassini uma branca não concorda que uma negra se ofenda com o racismo q só ela sente e vc quer que eu leve sua opinião em consideração,0
"+ de 50mil empresas encerradas e de 10mil em insolvência nesta governação.
Em Jan.17 já são estas. Baixar o desempr _ https://t.co/UzsGoF0p2q",0
"COISA DE ENRUSTIDO, HOMEM QUE É HOMEM APRECIA O GOSTO NATURAL DA RATA #JoaquinResponde https://t.co/pJjn2Gvmwa",1
"RT @atletico: Sócios GNV Prata e GNV Branco, continua a venda de ingressos para Atlético x Tupi! Vá ao Horto torcer pelo #Galo: https://t.c _",0
"- gente a pec 241 é pra reduzir gastos!!!!
- mas e o aumento de salário dos deputados?
- É CULPA DO PT",1
@angelinhaB2000 sai sapatão incubada,1
"Feliz dia MULHERES !
E que o SENHOR nos proteja do
Islão no
Brasil !",1
RT @dilmabr: Quero dar minha solidariedade ao povo do Rio e apoio ao Sergio Cabral. Estamos juntos nesse enfrentamento com o crime organiza _,0
"Comentou com 'ata' , já sei que é feminista muxibenta...
AHH, VÃO LAVAR A LOUÇA SUAS MAL AMADAS!!!!",1
@MPrescinoti @UOLNoticias @UOL alow pessoal do PSOL...vamos parar de fumar maconha seus malucos @MarceloFreixo @jeanwyllys_real,1
sempre válido saudar as sapatão,1
"@jazz0deon Um cristao é, de certa forma, um ateu para o budismo, para o islao, etc... Na mesma",1
OBSERVAÇÃO IMPORTANTE SOBRE O #DIAINTERNACIONALDAMULHER https://t.co/0vGVU7iho2,0
