text,hatespeech_comb
"@coebravo foda se ela to nem ai, gorda feia idiota",1
"SEM DÚVIDAS, ESTA É A TRISTE REALIDADE QUE SE VIVE EM ANGOLA.
Amor à Pátria!
Não iremos longe e dificilmente a... https://t.co/R6qIuclH4y",1
"TOMA ESSA, TROXA https://t.co/er6JB4p4Fz",1
@estudioi ter tempo pra cuidar da família é 'o grande problema' pra mulher ou pra qq pessoa que trabalha E tem filhos?,0
"Toda mulher deve ser respeitada independente de ser ou não feminista
Só as feministas que dizem lutar pelas mulheres não entendem isso",0
isto realmente eh uma grande rede de fufas,1
"Companheiros, desconfiai sempre de malta que se indigna com a escassez de courgettes!...",0
RT @jairbolsonaro: Quando souberam que gravaria entrevista 2 jornais desistiram de me ouvir nessa semana. Será pq?,0
"Isto acontece HOJE às 22h30 no 'Popular Alvalade' em Lisboa e está a 10 bilhetes de esgotar.
Apareçam.
RESERVAS: re _ https://t.co/24SNvEZOSW",0
"A imagem que define o que são esquerda e direita:
Esquerda = vagabundo mascarado.
Direita = patriota com a bandeir _ https://t.co/yDs4P8MdA4",1
Não gosta de 'bater papo' no MSN. Ele responde porque os outros falam. Nem tem tempo pra frescura.,0
"Vocês podem denunciar aqui, gente: http://t.co/AAYwR4nOtv",0
"@miguelcarvalhu 
Dizer que a 'hegemonia tem os dias contados'? Então não se pode prever o fim de um ciclo? 
Que patéticos...",0
"RT @FlavioBolsonaro: Ele já foi respondeu por pedofilia e agora será processado por calúnia, contida dentro da igreja! https://t.co/E1ALBef _",0
"E ele é a cara do meu querido amigoo ex-patrão @djbuts RT @lenabahirah Um dos melhores escritores do país, Fabrício @Carpinejar no Jô! =)",0
RT @pauloap: QUANDO VOCÊ GANHA AQUELE PRESENTE: https://t.co/zOlcBzgXPk,0
É lamentável que o Standvirtual queira passar a ideia que um sensor de movimento é suficiente para evitar que uma mulher bata com um carro,1
Com H maiúsculo não tem Twitter. Então você já sabe quem deve ter criado esse perfil.,0
"Os 'tolerantes' donos do poder e sua carneirada submissa, quando contrariados só ofendem e tentam ridicularizar. Hipócritas de mau perder!",0
@woeisvic quase um deck dragão branco de olhos azuis,0
@Curate_Angola isto é deturpar os factos. Não saber o q são equações trigonométricas n fará com q a criança seja intolerante com quem sabe..,0
Aquela campainha q se ouve nos directos da Assembleia d República serve para nos recordar que aquilo não passa de um dispendioso infantário.,1
@LeoLimaDuarte @gabrisinhas então por que diabos essa branquela ta reclamando?!,1
RT @JOAQUINVOLTOU: VAGABUNDO CHEGA AGARRANDO AS MENINA SEJEM CAVALHEIROS: OLA TUDO BEM VOCÊ É LINDA SEUS LABIOS DEVEM TER GOSTO DE MÉL VAMO _,1
"Falando em tpm, minha menstruação ta atrasada 2 semanas... Se eu não fosse sapatao ia estar preocupada",1
Melhor Jornalista do Brasil. https://t.co/DOEFlSFgQQ,0
Olha a explosãooo qdo a Portugal chegar o Islão https://t.co/nrVDE1TI8a,1
#EscolaSemPartido.  Só não vê quem é ESQUERDOPATA.. https://t.co/reUZ58586t,1
RT @otariano: Começou os meme https://t.co/wwadFAyoyy,0
@leticiabahia23  'Luta politica e social para a igualdade de gêneros. Isso ja ocorre exceto no mundo islamico. O fe _ https://t.co/iQOYcMARVc,0
@daninava parabéns!  (obs: o sentimento de bosta independente de idade mesmo),1
"feliz dia da mulher pra mim, que aguento tanta gente ignorante, machista e burra, com um sorriso no rosto sem dar na cara de ninguém",1
"@otmar03 huahauhaauhauha
uahuahauhaa
vamos a agenda feminista que faz tudo menos defender mulher https://t.co/CIEzI6W2Gi",1
"Pra turma da USP, Moraes é muito 'partidarizado' (???) e não pode ir pro STF.
Já Fachin ter defendido invasão de terra / MST (CRIME!!), ok.",1
"Odeia o Bolsonaro?
Então diz ai dos projeto dele que você discorda e porquê. Vamos ver sua inteligencia, nível de i _ https://t.co/RlqDhg5Q3S",0
@ricardo4769 @RuiHCruz Apenas demos início a um movimento,0
"galera vamos ajudar o léo ta perdido até hoje, ninguém o viu por ai?? #voltaLeo  :( http://t.co/3eisCf2Hpx",0
"RT @Vulgo_DiGatta: ,  feia se achando bela, gorda se achando gostosa. Meus olhos sangram !!",1
"Se você fosse candidato de direita à presidência na França, teria sua imunidade cassada por postar essa vídeo. Pois _ https://t.co/9EENktfyly",0
Rio Branco perde em casa (0-2 São José) https://t.co/vusPGJMVii,0
"@Mawara @elmalditocabron Não. Tem que começar a se opor ao islã de verdade, inclusive ser contra 'refugiados' no ocidente.",1
"Uma #MulherDeVerdade é boa de cama, gosta de seduzir, de ser seduzida. Gosta de provocar. E não tem frescurinhas.",1
quando alguém te chamar de gordo não ligue você é maior que tudo isso,1
RT @wtvcenas: as fufas d lx são tão falsas q dói kkk,1
Já poderia sair Logan em preto e branco com várias musica do Johnny Cash,0
@juancosta473 @YouTube vamos a um de 4 dias atras https://t.co/yhuT9y4llN e vão por a culpa no GPS e não nos traficantes assassinos,0
Urge uma mudança para renovarmos Portugal @rpsantos1970 https://t.co/1nwgTuUnoU#RogérioSantos #PNR #RenovarPortugal,0
"Advogados ABANDONAM a tal moça que acusou Feliciano de abuso...Agora a tal moça,ataca outros deputado, procurador... https://t.co/O9WcUD3wU4",0
"RT @anamr_c: Fufas decentes hj é o nosso dia, mulheres",1
RT @miidulo: Queria avisar as minhas amigas que a escola inteira conhece a gente como 'grupo de sapatão e viado' como eu sei disso? Falaram _,1
"'As melhores mulheres são as que querem trepar com você, e as piores são as que não querem.' - Lemmy - Motörhead - @homemdeverdade",1
"WOLVERINE COM A VOZ DO CUMPADI WASHINGTON E DO MR CATRA
EU TO CHORANDO",0
O movimento 'Vai ter gorda na praia sim' parece que funcionou. https://t.co/kmwq2k20e6,1
