instagram_comments,offensive_language
Presidente 2022🙏🏼,0
"Na minha opinião, o nosso Presidente, Jair Bolsonaro, tem que deixar de ser paizão e ser mais Presidente. Tem que fechar a boca dos filhos, que o estão prejudicando.",0
Achei que era meme. Putz,0
O Boca de Lixo Tóxico,1
Essa nao tem vergonha na cara!!,1
👏👏👏👏o capeta sendo capeta. Normal.,1
É tudo que a esquerda quer. Só eles são favorecidos com tudo isso,0
Vamos pra rua protestar,0
Muito bem Benedita,0
Kkkkkkkk Adolf Hitler também foi eleito personalidade do ano na década de 30. Não tenho certeza do ano acho que foi 39,0
"Te mandei um email, olhe",0
#lulanacadeia,1
Merecida homenagem!🙌🙌🙌,0
"👏👏 não é mas novidade essas frases , entretanto não podemos desistir....resistência, persistência....🙌",0
Homem de 😈 disfarçado de 🐑 para enganar o povo,1
"Mas o miss universo n coloca a mulher de maneira objetiva da. Tem q ter conteúdo, causas sociais, tem q ser empoderada... Se informe melhor!",0
Pois é.... A pena dela é exatamente pq não vai mais receber propina,1
"ENQUANTO NOSSO PRESIDENTE, SE MATA PROCURANDO ORGANIZAR NOSSO PAÍS, HÁ TODO MOMENTO OS ALMOFAFINHAS, DEMONSTRAM QUE SÃO OS FILHOS QUE MAIS TEM ATRAPALHADO O GOVERNO DO PAI. SÃO OS PIORES ADVERSARIOS DO GOVERNO. SE TOQUEM. PAREM DE FAZER MERDA.",1
Esse miZeravel e um ele estava demostrando ali naquele momento estava demostrando a sua guria comtra todos nós negros incruindo eu isso e inaceitável um disgrasado dessis aí fazendo amessas para todos nós tem que ser punido pela lei não pode aceitar jamais tudo isso que esse miZeravel feis,1
Dois mmmm farinhas do mesmo saco,1
A Globo tá falindo está mandado todo mundo embora,1
Não vejo a hora de ver esse demônio de 9 dedos na cadeia novamente!!!,1
Em qual o horário? Em que emissora? Me digam por favor!! Obg!!!,0
O que que esse paria social ganhou destruindo a placa. Que grupos estão por trás disso?,0
Onde estão as mulheres???,0
"Vai faltar cadeia para o pessoal do Pt, Psol, e outros 😂😂😂😂",1
"Idiota, pergunta a tua neta velho nojento!",1
Nunca desista de um sonho,0
Cassação nele,0
Vc é zica!!!,0
ESA MINHA GALERIA MARAVILHOSA ABRANCO,0
Lula inocente,0
"Embaixador 😂😂😂foi líder do governo a força,fala merda e depois pedi desculpas",1
"Esse cara deveria estar preso, ele vai da trabalho estando solto ,pois ele é um bandido perigoso, com certeza irá tentar fazer igual no Chile. Cuidado isso e cobra venenosa.",1
To achando que vc tomou um fora dele!! Essas suas atitudes são de amor não correspondido.,1
Nojento,1
Inútil ambos,1
Parabéns professor,0
@manueladavila não entendi o porquê do preconceito com Roraima.,0
"@bolsonarosp o lixo ,verme ,podre ,câncer ,azar ,ser das trevas ,da morte ,encosto ,infeliz ,infernal do noblat sempre fala no blog dele tic ,tac sobre a chata da Marielle !envolvendo vocês",1
A rainha das fake News ataca de novo 🤦 @gleisihoffmann,1
- Ministra a Senhora vai sair do Governo ? (Que 🐒 esse reporter pagou ao vivo),0
"A verdade que a minha geração já tá podre, tomara que a próxima mude tudo isso, porque tá foda",1
😂😂😂😂😂😂😂😂😂😂😂😂😂idiota 👉🏻🇧🇷,1
"Tá mais pra demônio, mesmo.",1
Amei a brusinha representando todas caminhoneira do Brasil. Te amo❣️,0
Parabéns para os jurados!,0
Meu Presidente,0
Vocês duas são um ótimo exemplo desse post. Que tiro no pé em 🤣🤦‍♂️🤣,0
O presidente não tem moral de nada nesse país .,1
30 anos estaria de bom tamanho para tamanho corrupto e ladrão!!! Estamos aguardando...,1
"Verdade, deve ser comemorado, o mundo mudou, devagar ou não, mas temos avanços.",0
É uma besta esse cara. 👊,1
Estão usando a menina e como usam a família da Mariela. Interesses excusos movem a mídia esquerdopa,1
Pq. ELa é SAFADA igual ao 9 dedos. 😲😲,1
O foco até tremeu com tanta beleza 😍,0
"Mas, o que esperar de um congresso quase todo CORROMPIDO? Um reino, uma associação,cooperativa, Senado Federal,Suprema Corte ou até mesmo a Câmara Federal, jamais subsistirá se não estiverem focados no mesmo objetivo(se protege), limitando, diminuindo a interação da sociedade brasileira, em assuntos pertinentes à mesma.",1
Damaris me representa 🇧🇷,0
Manda Lula andar na Paulista kkk,0
"Deus está acima das leis dos homens. Porém, qdo descumprimos as leis da Justiça Divina, só resta nos ajoelharmos e clamar por misericórdia para que Deus nos dê sabedoria para suportar as consequências. 1 Coríntios 6.12 Todas as coisas me são lícitas, mas nem todas as coisas convêm. Todas as coisas me são lícitas mas eu não me deixarei dominar por nenhuma delas.",0
"Vai morrer gente, Gleisi Hoffman. Vamos fuziar, Mauro Iasi, PCB.",0
Perfeita como Sempre👏👏👏,0
Vaca,1
Miltom Chaves Costa futuro Deputado Federal por Pernambuco porque DEUS QUER BOLSONARO MOURÃO REELEIÇÃO PRIMEIRO 1TURNO,0
Isso é orgulho,0
