text,offensive
Essa Maria Benta provou do peba na pimenta de seu Malaquias ,1
A leveza de um paralelepipedo e a honestidade de um NOVE DEDOS,0
Vamos cortar os gastos publicos Vamos cortar todos os funcionarios de confianca indicados por politicos Vamos cortar todos os funcionarios de alto escalao indicados pelo governo sem concurso publicos e sem capacitacao tecnica adequada Vamos cortar a quantidade de politicos,0
os politicos sao o reflexo do povo,0
Eu estava concordando com a PEC mais depois que eu vi a reportagem hoje no G da farra dos ministros com aviao da FAB  fiquei revoltadoEsse pais nao tem conserto nao,0
Se a empresa concorrente da sua te oferecesse um super contrato de trabalho voce trocaria de empresa Quanta gente hipocrita nessa torcida do fluminense aff,0
A progenitora dessa fezes esqueceu de dar descarga quando largou dentro do sanitario Obs ela nao usa calcinha,1
Concordo  por cento,0
MELHOR SERIA C U DEPOIS DE DIARREIA,1
A corrupcao esta estampada na cara desse individuo,0
E a grana pra salvar a oi vai sair de onde,0
Cade as provas,0
Foi dar uma olhadinha na conta dela e aproveitando vai ficar na casa do  dedos em punta,1
Voces sao idiotas ou se fazem Voces sabem que ele e do executivo e quer que interfira nos outros poderes Esses salarios sao vinculados a texto constitucional se informem mais nao que ele seja santo mas pra nao passarem vergonha de falar coisa que nao sabem,1
Diz pra esse povo parar de ficar dando chilique e tomar vergonha  na cara Que palhacada e essa,1
Quer vida facilva rodar bolsinha na AvAtlantica ou na Vieira Souto Joao,1
Repatriacao do dinheiro dos  parentes laranjas,0
RLX  neymar ja ta bem treinado pelo barca  so chegar e vesti o uniiforme ,0
MENOS UM MAS TEM QUE QUEIMAR LOGO O CORPO DELE ANTES DE CHEGAR NA PORTA DO NEM SEI E POLITICO MESMO  DO INFERNO,1
Precisavamos de mais Presidentes assim,0
PARE COM ESSE VEXAME GENTE DEIXA ESTE CARA DE LADO,0
o Flamengo sem motivacao nenhuma mete  x no santos,0
Continuam espalhando as mesmas mentiras de sempre,0
morre desgracada,1
Ave Dra Carmen Lucia os que estao prestes a morrer lhe saudam ,0
Estourou o placar quanto e isso,0
Esses recursos vao sair de onde ,0
Ele esta feliz em voltar a Bahia menos o povo baiano,0
Nao Junior Soares Defequei uns juniorizinhos soares aqui,1
kkk voces sao uns comedias,0
David Luiz agora e goleiro pra ter recorde pessoal de menos vazado,0
JA VIROU NOVELA CHEGA CANSAMOS,0
mas no sao paulo o apressado come C u,1
Olha se fosse assim ja tinham prendido e esquartejado o luladrao e kd ,1
Falou o recalcado que nao deu conta de passar em um concurso ele ate que tentou mais nao deu ne,1
E tanto deboche tanto escarnio perderam o senso de ridiculo de humilhacao,0
Corta a propria carne onde Ministros teriam burlado regra da FAB em  voos,0
Isaque nao se faca de tonto Chore menos sua Lionete,0
Ta com cara de quem peida na farofa kkkkkkk,1
Coisas de gentinha estao sempre fedendo a mortadela podre e nao tomam banho,1
Esse Tabare e o tipico bolivariano light se e que isso existe,0
hmmmmmmmmmmmisso e uma bichna,1
Em pontos corridos nao tem Riascos pra errar penalty aos  do segundo tempo rajkazblanks ,0
Pior cego e o burro,0
Ta louca Davi To afim de fazer nada na tua mao nao,0
BOA GOSTEIKKKKKKKKKKKKKKKK,0
Vai ser preso antes do Natal,0
Pobre BURRO neque apoia a direita,1
Pena que ainda existam vermelhos espalhados no pais quer dizer no mundo,0
Raposao politico de profissao  ta no fim da carreira e o Piaui o adora  Eh boca mole eheheh,1
E o fim Desisto do meu pais ,0
Esse modelo de Enem e enganar o povo que pensa que vai entra na faculdadeentra uns poucos o resto e tudo fraude,0
Esta visitando as novas instalacoes do Conde Dracula e seus Vampiros,0
Antonio Oliveira A VENEZUELA A GASOLINA VALE   CENTAVOS DE DOLAR NEM POR ISSO E POTENCIA,0
NOS PEOCUPEMOS COM NOSSO PAIS ESTE ESTA SUJOOS OUTROSPROBLEMA DELESIGNORANTES,0
Essa noticia e antiga,0
Vai querer aparecer mais que o Moro isso vai gerar uma ciumeira,0
Bandido defendendo bandido Estranho esse papo,0
Marcio Oliveira o governo devia acabar com privilegios do STF   Congresso camara dos deputados do CNJ ou seja do judiciario em geral e principalmente dos autos escalao do governo isso seria uma boa medida tira das costas do trabalhador e uma imoralidade ,0
Cortar a propria carne   Estou vendo so  o ze povinho se ferrar Cortar na carne e diminuir o inchaco da maquina publica  e diminuir o ganho dos politicos ,0
canta com se tivesse engolindo  litro de porra,1
Depois que recebeu o premio agrado da Globo ta se achando,0
