text,offensive
Kkkkk,0
Nunca Nao existe materialidade So conviccao ,0
voce falou tudo,0
cortarsea  a propria carne   a propria carne DOS OUTROS nao a deles ,0
Rafael dois finalistas da Libertadores do ano passado Um deles titular da selecao Equatoriana o outro futuro camisa  da selecao Ambos ja sondados por clubes da Europa Quem vai dar certo mesmo e o Conquinha com  anos e todo bichado kkkkkkkk,0
O dia do seu macho vai chegar Aguarde compre lenco pro choro Esterco humano,1
na moral e ser muito louco dizer que CR e melhor que Messi por favor velho,0
Desde que assumiu so falafalamas resolucao nenhuma,0
Entupiu de gols as redes do Cocoxa o mais rebaixado CoritiBIBAS CoritiBICHASCocouto   Porqueira,1
RLX  neymar ja ta bem treinado pelo barca  so chegar e vesti o uniiforme ,0
Quem tem motivos pra fugir sao aqueles que aparecem constantemente nas listas da lava jato,0
So abestalhados fazem essa prova imunda rsrsPor isso que voces sempre serao os nossos escravos ,1
Se vier  sera  um bom reforco,0
Se a empresa concorrente da sua te oferecesse um super contrato de trabalho voce trocaria de empresa Quanta gente hipocrita nessa torcida do fluminense aff,0
os politicos sao o reflexo do povo,0
So de olhar pra cara desse sujeito ja da vontade de vomitar,1
essa esquerda que esta ai nao tem condicoes com linderberg gleisi fatima bezzeratotalmente insanos,0
 acabou  a mordomia dos comunistas  vao trabalhar  fora seus corruptos,0
corinthians o melhor aluno do enem enemlibertadores enempaulista enembrasileirao enemcopa do brasil,0
ohhh doe um dos burros encantado pelo ladrao,1
Ve se nao volta nunca mais e mora na fazenda do molusco,1
o neymar faria alguma falta na selecao ou a sua ausencia seria melhor  ,0
quem ja viu bandidos fazendo leis contra anticorrupcao ,0
nem deveria ter contratado,0
Achei que a macaca vivia apenas na floresta ou no zologico,1
Tomara que esteja certo colega,0
Que materia espetacular em Grs,0
ceis tao tudo e dano buesta cai esse ano,0
E serio isso ,0
a zika mosquita estocadora de vento tambem esta de mudanca pro Uruguai vai ser vizinha do molusco,1
Alex exponha seus argumentos abc,0
E vc e um idiotao,1
So com conviccao nao se prende ninguem ,0
e quando vao pegar nosso dinheiro de volta com os sanguessugas,0
Nao vejo  ir visitar hospitais com criancas idosos e trabalhadores nas linhas finas,0
QUEREMOS UM TIME PRA GANHAR O TITULO E NAO PRA FICAR NO MEIO DA  TABELA NOVAMENTE ,0
IDIOTA APARELHADO,1
Os  do Rio os  de Sao Paulo  do Rio Grande do Sul e  de Minas Gerais   grandes ,0
ESTAMOS PERTINHOS DE UM MILHAO DE PARTICIPANTES ACORDA BRASIL,0
IDIOTA,1
O cara joga muito mas transa com o bum bum ,1
o dirigente falou alguma mentira,0
tem que colocar pena de morte ai vai diminuir bastante,0
Ajudou afundar o pais E nao tem vergonha na cara Acha tudo normal,0
Essa e uma reforma urgente A proxima e previdencia PEC e fichinha perto do que SE DEVE fazer ,0
 O grande erro foi ter entregue aquela ponta de terra no extremo sul do Brasil,0
Em pontos corridos nao tem jogador adversario escorregando com o gol escancarado rajkazblanks ,0
Talvez Luiz vc nao seja bom o bastante para tirar uma nota boa e fica de mimi eu entrei atraves do ENEM e to de boa estudando sem nenhuma conspiracao kk,0
A corja que apoia o golpe so fala merda,1
Nao e que a veia ta segurando um cigarrinho de maconha mesmo ,0
o choro e livre,0
tu isso tu aquilo o gauchada boiola kkkk,1
Ela e autoridade maxima do Judiciario nao e ministra da saude Vao se informar seus zes ruelas,1
Ele chamava pra atras da escola e sentava nos garotos kkkk,1
O Brasil deve vencer mas vai ser um jogo dificil,0
x no minino mano o Bauza vai vim todo na retranca,0
A economia de uma casa ou empresa e diferente da economia de um pais uma empresa pode corta gasto bem mais facilmente mas seu o governo corta gastos gera desemprego e queda da economia John Maynad Keynes  Todos defendem gasto com responsabilidade agora cortar gastos de educacao e saude que nao ,0
Vai fazer a denuncia e pede para um juiz pegar o caso blz,0
Voce e meia duzia pensam assim,0
e com o a nus faz outra coisa,1
Acaba de comprovar a burrice que lhe imputava,1
Ele vai ser o pior presidente da historia,0
Eu voto em quem ele indicar,0
Enquanto isto o Senado gasta  mil na decoracao de um gabinete,0
Sempre a admirei agora mais ainda      Bela atitude  ,0
Martin Sales deixa de ser idiot  agora ninguem pode discordar do temer que e mortadela so nesse pais mesmo que pobre metido a besta defende a direita,1
Eternos alienados e analfabetos PeTralhas,1
Mas porque ao inves de tirar mais da populacao mais pobre tambem nao crie os impostos sobre grandes fortunas exonere os cargos partariados de comissao corte os salarios e regalias dos deputados senadores dos secretarios e do Presidente da Republica diminua o salarios autos dos magistrados ai sim eu comeco a acreditar mais neste governo e no Brasil melhor,0
este  Temer fala em cortar a propria carne entao porque nao comeca cortando os aumentos q ele sancionou dos ministros e deputados e assim ele ja pode ver um melhor desempenho mas nao prefere tirar da gente do q deles mesmos  ,0
Deveria  julgar as acoes envolvendo Jose Serra Os  milhoes ninguem fala Cade a Veja,0
Essa ministra trabalha a menos de  km dos hospitais de BASE e HRAN sera que pretende visitar os,0
Pra quem nao sabe e aquele mesmo hotel que a Ana Hickimann estava,0
VAO BATE PANELASSEUS BURROSBEM FEITO,1
Daqui pra frente vai piorar porque nao havendo emprego   vai aumentar os furtos e roubos ,0
kkkkkkkkkkkkkkkkkkkkkkk faz me rir,0
o tecnico e bom o time que e ruim ,0
MARIAS NOS CIO  MINHAS PRESAS PREDILETAS VOU ME ESBANJAR EM DEVORALAS,0
Se for o Ze Ricardo o Tecnico da Libertadores e entregar mais uma vez ao titulo ao palmeiras,0
Teve uma hora para responder e nao achou nada Claro  nao existe ditadura eficiente,0
aqu nao tem lugar para carne de pescoco o povo gosta so de picanha na parrilla,0
alo sua vai botar ovos suas fracast ,1
Enquanto isso o teori segura a bronca no stf,0
vOCE E UM BRINCALHAO ,0
KKKKK MAIOR LADRAO QUE MERECE A MORTE ,1
Porque nao vai aos Hospitais que estao super lotados e falta de equipamentos,0
rosana a sua revolta e devido a falta de mortadela ,0
A populacao esta tao  manipulada que so entendem dois lados  quando nao devemos ter lado nenhum Devemos lutar contra todos os que se locupletam com o nosso dinheiro  seja de que partido for,0
