txt,has_anger
"""judea declares war on germany!"" - daily express headline, march 24, 1933.""judea declares war on germany! jews of all the world unite! boycott of german goods! mass demonstrations!"" - these were all headlines in the daily express on march 24, 1933.""the israeli people around the world declare economic and financial war against germany. fourteen million jews stand together as one man, to declare war against germany. the jewish wholesaler will forsake his firm, the banker his stock exchange, the merchant his commerce and the pauper his pitiful shed in order to join together in a holy war against hitler's people."" - daily express, march 24, 1933.""each of you, jew and gentile alike, who has not already enlisted in this sacred war should do so now and here. it is not sufficient that you should buy no goods made in germany. you must refuse to deal with any merchant or shopkeeper who sells any german-made goods or who patronises german ships or shipping…. we will undermine the hitler regime and bring the german people to their senses by destroying their export trade on which their very existence depends."" - samuel undermeyer, in a radio broadcast on wabc, new york, august 6, 1933. reported in the new york times, august 7, 1933.joining with samuel untermeyer in calling for a war against germany, bernard baruch, at the same time, was promoting preparations for war against germany. ""i emphasised that the defeat of germany and japan and their elimination from world trade would give britain a tremendous opportunity to swell her foreign commerce in both volume and profit."" - baruch, the public years, by bernard m. baruch, p.347 (new york: holt, rinehart and winston, 1960).samuel untermeyer was a jewish leader and close friend of presidents wilson and roosevelt.bernard baruch was a presidential adviser to wilson, roosevelt and truman.""this declaration called the war against germany, which was now determined on, a 'holy war'. this war was to be carried out against germany to its conclusion, to her destruction"" (diese erklärung nannte den krieg gegen deutschland, der nun beschlossen sei, einen heiligen krieg. dieser krieg müsse gegen deutschland bis zu dessen ende, bis zu dessen vernichtung, geführt werden). - dr. franz j. scheidl, geschichte der verfemung deutschlands.""war in europe in 1934 was inevitable."" - h. morgenthau, secretary of the u.s. treasury, hearst press, september, 1933 (also quoted in ""the palestine plot"" by b. jenson, p. 11 (printed by john mckinley, 11-15 king street, perth, scotland)).""for months now the struggle against germany is waged by each jewish community, at each conference, in all our syndicates, and by each jew all over the world. there is reason to believe that our part in this struggle has general value. we will trigger a spiritual and material war of all the world against germany's ambitions to become once again a great nation, to recover lost territories and colonies. but our jewish interests demand the complete destruction of germany. collectively and individually, the german nation is a threat to us jews."" - vladimir jabotinsky (founder of the jewish terrorist group, irgun zvai leumi) in mascha rjetsch, january, 1934 (also quoted in ""histoire de l'armée allemande"" by jacques benoist-mechin, vol. iv, p. 303).""hitler will have no war (does not want war), but we will force it on him, not this year, but soon."" - emil ludwig cohn in les annales, june, 1934 (also quoted in his book ""the new holy alliance"").""we jews are going to bring a war on germany."" - david a. brown, national chairman, united jewish campaign, 1934 (quoted in ""i testify against the jews"" by robert edward edmondson, page 188 and ""the jewish war of survival"" by arnold leese, page 52).""we want to bring about a deep hatred for the germans, for german soldiers, sailors, and airmen. we must hate until we win."" - lord beaverbrook, quoted in niemals! by heinrich goitsch.""there is only one power which really counts. the power of political pressure. we jews are the most powerful people on earth, because we have this power, and we know how to apply it."" - vladimir jabotinsky, jewish daily bulletin, july 27, 1935.""before the end of the year, an economic bloc of england, russia, france and the u.s.a will be formed to bring the german and italian economic systems to their knees."" - paul dreyfus, ""la vie de tanger"" may 15, 1938.on the 3rd of june, 1938, the american hebrew boasted that they had jews in the foremost positions of influence in britain, russia and france, and that these ""three sons of israel will be sending the nazi dictator to hell."" - joseph trimble, the american hebrew.""germany is our public enemy number one. it is our object to declare war without mercy against her. one may be sure of this: we will lead that war!"" - bernard lecache, the president of the ""international league against racism and anti-semitism,"" in its newspaper ""droit de vivre"" (right to life), 9 november, 1938.""the war now proposed is for the purpose of establishing jewish hegemony throughout the world."" - brigadier general george van horn mosely, the new york tribune, march 29, 1939.""i wish to confirm in the most explicit manner, the declaration which i and my colleagues made during the last months, and especially in the last week: that the jews ""stand by great britain and will fight on the side of the democracies."" our urgent desire is to give effect to these declarations. we wish to do so in a way entirely consonant with the general scheme of british action, and therefore would place ourselves, in matters big and small, under the co-ordinating direction of his majesty's government. the jewish agency is ready to enter into immediate arrangements for utilizing jewish manpower, technical ability, resources, etc."" - chaim weizmann, president of the world jewish congress, head of the jewish agency and later president of israel, the london times, september 5, 1939, and the london jewish chronicle, september 8, 1939.""the millions of jews who live in america, england and france, north and south africa, and, not to forget those in palestine, are determined to bring the war of annihilation against germany to its final end."" - central blad voor israeliten in nederland, september 13, 1939.""stop talking about peace conditions! break germany in pieces!"" - the daily herald, no.7426, 9 december, 1939.""the jews, taken collectively, view this war as a holy war."" - the daily herald, no.7450, 1939, quoted in ""reichstagsbrand, aufklärung einer historischen legende,"" by u. backes, k.h. janßen, e. jesse, h. köhler, h. mommsen, e tobias.""even if we jews are not physically at your side in the trenches, we are morally with you. this war is our war and you fight it with us."" - schalom asch, les nouvelles litterairres, february 10, 1940.""in losing germany, jewry lost a territory from which it exerted power. therefore it was determined to re-conquer it."" - louis marschalko, ""the world conquerors : the real war criminals.""""the world jewish congress has been at war with germany for seven years."" - rabbi m. perlzweig (head of the british section of the world jewish congress), toronto evening telegram, february 26, 1940.""the second world war is being fought for the defense of the fundamentals of judaism."" - rabbi felix mendlesohn, chicago sentinel, october 8, 1942.""we are not denying and are not afraid to confess that this war is our war and that it is waged for the liberation of jewry… stronger than all fronts together is our front, that of jewry. we are not only giving this war our financial support on which the entire war production is based, we are not only providing our full propaganda power which is the moral energy that keeps this war going. the guarantee of victory is predominantly based on weakening the enemy forces, on destroying them in their own country, within the resistance. and we are the trojan horses in the enemy's fortress. thousands of jews living in europe constitute the principal factor in the destruction of our enemy. there, our front is a fact and the most valuable aid for victory."" - chaim weizmann, president of the world jewish congress, head of the jewish agency and later president of israel, in a speech on december 3, 1942, in new york.""played golf with joe kennedy (u.s. ambassador to britain). he says that chamberlain stated that america and world jewry forced england into world war ii."" - james forrestal, secretary of the navy (later secretary of defense), diary, december 27, 1945 entry.""it is untrue that i or anyone else in germany wanted war in 1939. it was wanted and provoked solely by international statesmen either of jewish origin or working for jewish interests. nor had i ever wished that after the appalling first world war, there would ever be a second against either england or america."" - adolf hitler, april, 1945.the joke doing the rounds of the british union of fascists at this time, was that the jewish national anthem was, 'onward christian soldiers.'",1
">>61204você não tem liberdade em ser você mesmo? diante dela? não tem culhões em determinar uma ordemopinião com razão, em prol de vocês dois?>>61221ela já namorou outras pessoas? se sim, ela foi calorosa com ele(s)? pergunte sem querer e queira saber principalmente pelas amigas dela (faça como fosse uma pergunta casual). se não, ""um abraço"" pra ela e a vida segue.>>61234>o problema é que talvez eu esteja começando a sentir alguma coisa por ela, coisa de uns dois meses comecei a ludibriar a desgraçadas porém começo a sentir sentimentos em certas situações com a vadia.parabéns, tu é humano ainda. acho que suponho fonte: cu do anão sobre este teu interesse mas cuidado, ela pode arruinar se ela botar galha em você e todos saberem.>>61256se vocês falaram normalmente depois do ocorrido, o máximo foi um arranhão na fuselagem. se prepare pro dr que ela pode jogar isso.>>61263uai macaco. bola pra frente, porra.>>61200>>61264tenha muito cuidado com a atitudes de certas pessoas, esse /mimimi/ da parte dela pode ser totalmente natural em conversar. se ela não falar do namorado, isso não quer dizer que está se afastando dele na sua frente ou não.somente mostra que não aprova isso (traição) da parte dela se quer dar depois disso, mete sem dó>>61273ela tirou o seu equilíbrio só por chamar de fofinho.",1
"eu tenho um grande problema: estudar.eu não consigo fazer esta merda, sempre me distraio com algo, me fazendo perder o foco na coisa que estou fazendo, tendo que ler/assistir a explicação tudo de novo. isso acaba me deixando entediado e eu vou dormir ou jogar.o que fazer?",1
">>54324olha a porra do fio, seu autista.tá querendo conseguir algo nessa rede social de gado postando foto de desenho chinês? estou tentando ajudar os anões, volte para p /b/.",1
">>59483puxar assunto, jogar um pouco de papo fora e daí chamar pra sair é o padrão do que faço. nada foge muito a isso. no seu caso, seria pra ver o que é que ela lembra de você (porque, com um perfil bosta desses, só assim pro match ocorrer), se ela está interessada ou só curiosa, e daí chamar pra sair normalmente. nada que vá demandar muito tempo juntos, ir numa praça e tomar um café ou sorvete só pra ter um pretexto de se encontrarem. suas preocupações vem só do fator novidade, não é nada diferente do que já não fez outras vezes.só dou o conselho de você não criar expectativas tão grandes. você está um tanto quanto instável após um término de longa data, e é muito comum essa bagagem vir junto com você pra todo lado. você irá pisar na bola e fazer bobagem, o importante é não se deixar abalar por isso.",1
">>60210anãozinho, sua inocência e pureza de pensamentos me dão pena.conheço inúmeros casos, repetindo, inúmeros casos de caras totalmente feios/gordos que comem mulher diferente todos os dias por motivos variados que não seja a beleza ou a altura. um amigo bem próximo é gordo, sem queixo e calvo, mas tem uma bmw z4 e mora numa mansão que só a piscina cabe sua casa e toda santa semana esse abençoado aparece com uma depósito diferente, as vezes com duas. outro conhecido, um baiano gordinho do cabelo pixaim porém extremamente dexxxcolado, como duas ou três depósitos por semana, nesse caso nem dinheiro tem, já vi o bastardo carregando depósito do bar pra casa no quadro da bicicleta.puta que pariu, anão, tenho pena de você pelo fato de que está tão imerso nesse pensamento raso e simplista da coisa que demorará ainda um bom tempo pra acordar e ver que beleza e altura são apenas dois ingredientes do grande bolo de merda que as depósitos esperam de um homem.poderia ficar aqui listando exemplos e mais exemplos, mas é perda de tempo. cresça, caro cupincha.",1
">>28304ele ""socializou"" os bens e destruiu o capitalismo no em cuba por meio século, agora, se isso ajudou os pobres ou não, eu não sei, hue.alias, todos sabemos que socialismo não funciona por ser uma ideia burra, agora, fazer reformas liberais em um país economicamente engessado em um sistema ultradependente do estado que já estava na merda por muito tempo, geralmente dá certo, porém, elas tem que ser feitas, não foi o caso da argentina, as reformas econômicas não passaram pelo congresso e o país só afundou mais ainda.",1
"esse adélio é um matador de aluguel!ele tem passagens por vários estados, com vínculos temporários de emprego. se diz pedreiro/desempregado, mas estava seguindo o gibeiranaro há tempos, foi até o clube de tiro e chegou ao local do assassinato com 10 dias de antecedência, tinha 4 celulares e 2 notebooks.ele claramente teve ajuda, nas imagens dá para ver um homem que tenta distrair os seguranças, uma depósito de porra que passa a faca e quando o gibeiranaro está sendo levado para o hospital um outro tenta impedir e desferir um soco no estômago dele, para piorar a hemorragia.minha teoria é a seguinte: quem quer que tenha sido o mandante planejou por um ano ou mais e deixou 'pontas soltas' para levar à investigação a um rumo determinado.quando o adélio foi preso, gritou: 'olha no meu cancro, está tudo lá' (segundo o antagonista).e no perfil do sujeito tudo foi convenientemente montado para parecer um ato de um extremista louco e solitário.ele inclusive está se fazendo de maluco e já deve ter treinado isso previamente.após a prisão ele teve prontamente a defesa de 4 advogados, um inclusive pegou um avião particular para ir até ele.se vocês observarem os perfis que comentam o cachaceiro nas redes, verão que todos os comentários mais curtidos são feitos por fakes, alguns criados há mais de um ano e com fotos, para disfarçar, mas todos falsos. já vi o caso de um sujeito comentando na página do molusco com o perfil todo montado dessa forma, fotos com camisa do pt e mais de 5 ou 6 postagens no mesmo dia há um ano atrás para 'encher o perfil' e dar a impressão de ser verdeiro.esses mesmos fakes foram os responsáveis por criar a teoria, horas depois do ataque, de que tudo foi um falseflag do gibeiranaro para ganhar as eleições.tem muita sujeira por trás dessa história, podem apostar.se a polícia realmente investigar, vai achar muita coisas, envolvendo partidos de grifinoria e políticos de alto escalão.se bobear, até dinheiro do soros tem por trás. é igual os black blocks, faziam merda e já tinham assistência jurídica.inclusive o discurso foi todo montado para desmerecer o ataque, dar a impressão de ter sido um lobo solitário e culpar o 'discurso de ódio' do deputado, inclusive afirmado por um dos advogados.inclusive eu vou além, o suposto atentado na caravana do cachaceiro (false flag) foi feito justamente pensando no assassinato do gibeiranaro mais tarde, talvez até a marielle tenha sido sacrificada pela grifinoria, para criar uma polarização política e uma narrativa convincente para matar o gibeiranaro.palhaços felizes do chan, investiguem!",1
"estudante de medicina reportando dentro.>>49624a maior indicação de sibutramina é perda de peso, não é um antidepressivo de primeira linha. ele pode trazer muitos efeitos indesejáveis por não ser somente um inibidor de recaptação de serotonina, como também de noradrenalina e dopamina (o que inclusive aumenta sua propensão à dependência). sugiro que analise outras alternativas.>>49653uma das coisas mais estúpidas que alguém pode fazer é utilizar benzodiazepínicos. >>49651>>49692o valor terapêutico atual da quetamina ainda é inferior a de outras drogas antidepressivas. fora o risco de dependência, que não existe em drogas como sertralina e fluoxetina.",1
"26 anos , só comi um viado e minha pitanga até hoje…ridículo.",1
"é normal começar a seguir a vadia do nada e depois curtir foto ou manda mensagem? preciso ter conversado com ela antes ou a gente ter se visto pessoalmente?sinto muita vergonha em fazer isso, parece que estou invadindo o espaço da pessoa.",1
