"text","hatespeech_comb"
"'que tal trocar seu parabéns por respeito o ano inteiro'
Mas eu não te dei parabéns","0"
"Ontem eu me lembrei q a mttttt tmp atras ,acho q uns 7 anos eu tive uma professora sapatao ,descobrir q hj ela possui o nome de allan","1"
"@FCMorango dá uma fuçada lá, primeiro livro da minha amiga @melaineribeiro www.aescritoraeomusico.blogspot.com (eu reviso)","0"
"Queres ir ver 'Overdose de Tourette' ao Casino da Figueira e não tens paca?
Olhó passatempo na página do evento:
https://t.co/aKIHbJrye8","0"
"RT @brupls: vai se fude os cara quer retratar jesus e retrata o cara branco, de cabelo sedoso olho azul etc o cara nasceu no oriente médio _","1"
"Burra é a mulher que aceita ser amante!","0"
"Podia ta mais branco  pq gosto dele tempestade mas tudo bem","0"
"A CP está a recrutar revisores e um dos requisitos é saber falar espanhol.
Talvez fosse mais importante contratar pessoas que saibam crioulo","1"
"@JornalOGlobo hahahha eita os corruptos estão mijando com medo de Bolsonaro!!!","0"
"RT @gugachacra: O @JOAQUINVOLTOU não apenas me convidou para o camarote dele, como enviou uma passagem executiva da VASP NY-SP, com transfe _","0"
"@fofocasonline e com as crianças eles fazem isso...povo maldito mesmo ! @RachelSherazade https://t.co/GA0Ql2TaYn","0"
"RT @editorahumanas: Qual o seu voto nesse possível segundo turno:","0"
"estou cansada das palavras: homofobia, racismo, gordofobia, feministas!!!! como eu queria voltar pros anos 90, eu ouvia bem menos.......","1"
"Hei Jovem espinhudo! AXÉ NÃO! RESTART NÃO! LEGIÃO URBANA NÃO ! Tenha um mínimo de decência nessa vida ordinária que vc leva!","1"
"me tirem daqui http://t.co/Ur9Du2bO","0"
"E o caviar PC Siqueira querendo pagar de sem-teto, é mole? https://t.co/Y6GGoH3RW9","0"
"é desmascarado e vem com ironia  hahahaha https://t.co/oBqaRTKmYl","0"
"Status: pegando o Uber mais clichê da vida ca sapatão ouvindo Ana Carolina.","1"
"@paullamirella Vc conhece a Banda #thecorrs ? #fikdik 'Runaway', 'No frontiers' 'At Your Side'.. e por aí vai (AmoMuito)","0"
"Galera do Rio: uma mulher foi sequestrada ontem depois de sair do bloco AGYTOÊ e as amigas dela precisam de ajuda... https://t.co/6PstdV4uw0","0"
"@tiagooliviera19 Não me meto nisso outra vez","0"
"Qnd as feministas vierem me ofender, não vou nem rebater, só vou dar RT.","0"
"Participação do #PNR nas autárquicas vai crescendo. Com programa nacional e diferenças locais, pode dizer-se: todos _ https://t.co/scEsjxHxcH","0"
"@FelipeHamachi o desespero pra ganhar uma foda tá demais","0"
"Angola vs Mali
PSG vs Barcelona 
Mera consciência ou será que Angola não é a única equipa fraca????","0"
"MULHER BURRA DA PORRA","1"
"Prefiro ser magrela como a piranha diz .. do que ser gorda feia como ela é 
#Afrontaaaaaaaaabbê  https://t.co/QUc3onlGDo","1"
"Pessoal que é todo 'eu não mato animal nenhum'. Uma semana em Angola e depois falamos","1"
"intervenção militar já!!! ninguém aguenta mais esses corruPTos!!!","0"
"@fgeovanelima mas ele jamais superará Cesar Romero","0"
"O #PNR solidariza-se com a dor da família enlutada, pela morte de mais um Agente ao serviço da nossa Nação. 
#GNR _ https://t.co/L4woxi9etD","0"
"Precisamente: sem segurança não há liberdade!
@realDonaldTrump 
@FoxNews 
#pnr https://t.co/3qnmSeM2yj","0"
"RT @RockSaint_: Muitas crianças são criadas por homossexuais, eu não vejo diferença nenhuma nessa imagem o mesmo vai acontecer com algumas _","0"
"@homemdeverdade fez um serviço na cara do Silvio Berlusconi !","1"
"RT @domestorck: Esse mundo sapatão é uma viagem, todo mundo pega todo mundo credo YCYFUGUG","1"
"RT @alex_borges: - Legaliza e cobra imposto q diminui o crime
- Mas vc não diz q imposto é roubo?
- Sim
- Então o crime aumenta, certo?
- . _","0"
"A esquerda reclama das coisas inventadas pela própria esquerda:
Racismo, homofobia, machismo, nazismo, cultura de estupro e luta de classes.","0"
"RT @paulloxavier: @marisa_lobo querida comecei a ler sobre seu trabalho e vc esta de parabéns pela coragem conheci o seu trabalho estudando _","0"
"O Facebook usou o hijab para homenagear as mulheres no #DiaDaMulher
O hijab é o maior símbolo de opressão islâmica _ https://t.co/SkHBYLsMLh","0"
"RT @_carmeloneto: @TPJaros não. A lei da imigração abre as fronteiras do Brasil para refugiados, e libera a ONU para emitir vistos, tirando _","0"
"Covardes em busca da censura numa das maiores páginas de humor da direita br. #SomosTodosEditoraHumanas","1"
"Uma #MulherDeVerdade acredita no amor, mas não vira refém dele.","0"
"Homem que é homem só come carne. Peixe é coisa de bixa.","1"
"eu me arrumei em exatos 3 min pra trabalhar","0"
"@larryshine28 Feminista = Qm defende seus direitos iguais, N preciso ser feia/cabeluda?/gorda pra querer o msm salário na msm func.","0"
"RT @wassupval: Amo/sou @HumorNegroo e a revolta dos ofendidinhos com suas piadas","1"
"RT @PastorMalafaia: O q Levy Fidelix disse: O APARELHO EXCRETOR NÃO REPRODUZ.Onde está a homofobia e a mentira? Em lugar nenhum.Cambada de _","1"
"KKKKKKKK
menos a prima sapatão
abusada do cacete https://t.co/76wc62FhaW","0"
"O Trump do futebol foi reeleito. Quando é que começa a construção do Muro na 2a Circular? O Benfica que prepare o guito...","1"
"DOMINGO 21:03
LIMPAR CHURRASQUERA
GUARDA O REVOLVER
PAGA AS PROSTITUTA
TIRA DO SEXY HOT
BOTAR NA REDE VIDA
ESTA ENCERRADO
O FINAL DE SEMANA","0"
"RT @SargentoFAHUR: '5 PATINHOS FORAM PASSEAR....
ALÉM DAS MONTANHAS P/ ROUBAR
A PM CHEGOU, E PÁ PÁ PÁ PÁ.
NENHUM PATINHO VOLTOU DE LÁ' http _","1"
"RT @odedonafrida: O Samaris fala melhor português do que Jorge Jesus.","1"
"@AgenteRusso o cara que escolhe foto é muito fanfarrão","0"
"assim vc mata o papai, a mamae, a titia e a vovó #hotelurbano http://t.co/f3HeZJYryI","0"
"Minha mãe sempre trabalhou, se na sua casa a galera não gosta de um trabalho honesto não tenho culpa https://t.co/eoAs4Ub2Lo","0"
